Inference for Stan model: anon_model_41af6b195d0a37a4a461f78cd03c2699.
4 chains, each with iter=6000; warmup=1000; thin=5; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                       mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
Rt[86]                 2.33  3.7e-3   0.23    1.9   2.17   2.32   2.48    2.8   3972    1.0
Rt[87]                 2.23  3.2e-3    0.2   1.86    2.1   2.23   2.36   2.63   3761    1.0
Rt[88]                 2.17  2.7e-3   0.17   1.84   2.05   2.16   2.28   2.52   4002    1.0
Rt[89]                 2.12  2.4e-3   0.15   1.82   2.01   2.11   2.22   2.44   3944    1.0
Rt[90]                 2.04  2.1e-3   0.13   1.79   1.94   2.04   2.13   2.31   3943    1.0
Rt[91]                 1.92  1.9e-3   0.12    1.7   1.84   1.92    2.0   2.16   4001    1.0
Rt[92]                 1.78  1.6e-3   0.11   1.58   1.71   1.78   1.85    2.0   4179    1.0
Rt[93]                 1.63  1.5e-3   0.09   1.46   1.57   1.63   1.69   1.82   3768    1.0
Rt[94]                 1.47  1.3e-3   0.08   1.31   1.42   1.47   1.53   1.64   3974    1.0
Rt[95]                 1.32  1.1e-3   0.07   1.19   1.27   1.32   1.37   1.47   3906    1.0
Rt[96]                 1.18  1.0e-3   0.06   1.06   1.14   1.18   1.22   1.31   3865    1.0
Rt[97]                 1.07  1.0e-3   0.06   0.95   1.02   1.06   1.11   1.19   3349    1.0
Rt[98]                 0.98  8.9e-4   0.06   0.87   0.94   0.98   1.01   1.09   3900    1.0
Rt[99]                 0.91  8.3e-4   0.05   0.81   0.87   0.91   0.94   1.01   4034    1.0
Rt[100]                0.86  8.2e-4   0.05   0.75   0.82   0.86   0.89   0.96   3936    1.0
Rt[101]                0.82  8.1e-4   0.05   0.72   0.79   0.82   0.86   0.93   3986    1.0
Rt[102]                0.79  8.2e-4   0.05    0.7   0.76   0.79   0.83    0.9   3932    1.0
Rt[103]                0.78  8.5e-4   0.05   0.68   0.74   0.78   0.81   0.88   3634    1.0
Rt[104]                0.77  8.4e-4   0.05   0.67   0.73   0.77    0.8   0.87   3907    1.0
Rt[105]                0.76  8.3e-4   0.05   0.66   0.72   0.76   0.79   0.87   4124    1.0
Rt[106]                0.75  8.6e-4   0.05   0.64   0.71   0.74   0.78   0.85   3954    1.0
Rt[107]                0.73  9.1e-4   0.06   0.63   0.69   0.73   0.77   0.84   3908    1.0
Rt[108]                0.71  9.2e-4   0.06    0.6   0.67   0.71   0.75   0.83   3938    1.0
Rt[109]                0.68  9.2e-4   0.06   0.57   0.64   0.68   0.72    0.8   4128    1.0
Rt[110]                0.65  9.8e-4   0.06   0.53   0.61   0.65   0.69   0.78   3967    1.0
Rt[111]                0.64  1.0e-3   0.06   0.52   0.59   0.63   0.68   0.76   3953    1.0
Rt[112]                0.62  1.1e-3   0.07    0.5   0.58   0.62   0.67   0.76   3858    1.0
Rt[113]                0.62  1.1e-3   0.07   0.49   0.57   0.62   0.67   0.76   3760    1.0
Rt[114]                0.62  1.2e-3   0.08   0.48   0.57   0.62   0.67   0.77   4085    1.0
Rt[115]                0.61  1.3e-3   0.08   0.46   0.55   0.61   0.66   0.77   3789    1.0
Rt[116]                0.59  1.3e-3   0.08   0.44   0.54   0.59   0.65   0.77   3812    1.0
Rt[117]                0.59  1.5e-3   0.09   0.42   0.53   0.59   0.65   0.78   3858    1.0
Rt[118]                0.61  1.6e-3    0.1   0.42   0.54   0.61   0.67   0.81   3622    1.0
Rt[119]                0.62  1.6e-3    0.1   0.43   0.55   0.62   0.69   0.83   4078    1.0
Rt[120]                0.62  1.8e-3   0.11   0.41   0.54   0.61   0.69   0.84   3842    1.0
Rt[121]                0.59  1.9e-3   0.12   0.37   0.51   0.58   0.66   0.83   3695    1.0
Rt[122]                0.53  2.0e-3   0.12    0.3   0.44   0.53    0.6   0.79   3761    1.0
Rt[123]                0.45  2.0e-3   0.12   0.23   0.36   0.44   0.53    0.7   3947    1.0
